月ノ美兎のファンアートの名前はどれ？,2,みと美術館,みとあーと,みとイラスト,みとみと
にじさんじの運営会社の「いちから」は2021年5月に社名を変更した。その会社名は何？,1,えにから,ふたから,からから,きらから
にじさんじのマスコットキャラクターの名前は何？,4,にじみん,えにみん,からみん,ゆがみん
ジョー力一がよく歌ってみた配信をする、ファンの名称が「馬の骨」のアーティストは誰？,4,B'z,女王蜂,電気グルーヴ,平沢進
元１期生は総勢何名？,2,５名,８名,６名,９名
RRRでジョー力一が品のない発言をした時に、鷹宮リオンから言われるセリフは次の内どれ？,1,さいてー,きもーい,墓場行きだよ,やめてよ
ジョー力一がにじさんじオーディションのために作ったキャラは次の内どれ？,3,伊集院キリコ,鹿鳴館リリコ,鹿鳴館キリコ,鹿鳥館キリコ
ジョー力一が毎週土曜に配信するラジオ番組は「ジョー力一の深夜〇〇」〇〇は何時？,3,２５時,２４時,３２時,３４時
にじさんじが毎年コラボするデリケアエムズの専属VTUBERは誰？,1,エムズーン,カリズーン,デリケアー,コカーン
レインパターソンが持っているサメの名前は何？,4,ホオジロさん,さめちゃん,しゃーくさん,ホホジロさん
ラジオ舞元力一のリスナーネームは何？,2,おじさんネーム,一見さんネーム,ジョージネーム,ピエロネーム
舞元啓介が大を漏らしたのは　何をしていたとき？,3,案件,配信中,デート,農作業中
月ノ美兎が好んでプレイするゲームジャンルは？,4,音楽ゲーム,アクションゲーム,恋愛ゲーム,リョナゲー
「ジョー力一の深夜32時」で「スパチャ読みをしない」くだりのときの常套句は何？,2,ちょんげ,なぁ〜んだ,はいジョージ！,聴こえてんのかい？
グウェルオスガールが100万人耐久配信をしている。終了の条件は１００万人達成と　何をしたとき？,3,引っ越した時,停電した時,PCが壊れた時,PCを買い替えた時
「#Vtuberはじめて良かったこと」のハッシュタグで「結婚式と車のローンを完済できた事です。」とつぶやいたライバーは誰？,4,イブラヒム,長尾景,弦月藤士郎,グウェル・オス・ガール
ニコニコ動画のエンターテイメントカテゴリで、ライバー名がジャンル名として設けられた。そのライバーとは誰？,3,月ノ美兎,西園チグサ,周央サンゴ,イブラヒム
３Dお披露目配信で異例のパチスロを行ったライバーは誰？,4,神田笑一,舞元啓介,レイン・パターソン,イブラヒム
にじさんじが「ばかうけ」とコラボした際　どのコラボ組がコラボした？,2,エデン組,SMC組,SSR組,OTN組
ましろが飼っている猫の名前は？,1,ぱわこ,もち,むく,ぽち
鈴原るるが嫌いな虫は？,3,ゴキブリ,トンボ,蜘蛛,アリ
オーディションで送付する動画ファイルは「３分以内」と規定があったが、「１８分」の動画を送付したライバーは誰？,2,舞元啓介,ジョー力一,シスタークレア,月ノ美兎
社築、緑仙、加賀美ハヤトで食事に行った際、「1500円の水」を飲まされた。その水の名前は？,4,FIJI,BOSS,山崎の水,VOSS
レバガチャ台パンのお土産で「吉野家の牛丼」を持ってきたのは誰？,2,ラトナプティ,勇気ちひろ,天宮こころ,桜凛月
レバガチャ台パンのお土産で、社築が大絶賛した「フルーツサンド」を持ってきたのは誰？,3,魔界ノりりむ,アルスアルマル,卯月コウ,夢追翔
サッカー選手「本田圭佑」がツイッターでフォローしているライバーは誰？,1,シスタークレア,周央サンゴ,郡道美玲,舞元啓介
中学・高校の教員免許を取得したライバーは誰？,4,郡道美玲,夢追翔,弦月藤士郎,シスタークレア
